student_id,is_male,age_group,study_hours_per_day,sleep_hours,gaming_hours,social_media_hours,attendance_percentage,stress_level,focus_score,Previous_Grades,is_passing,final_grade
1,0,21-23,4.34999990463257,3.63000011444092,5.26000022888184,2.73000001907349,57.2099990844727,10,57,0,1,B
2,1,18-20,6.1399998664856,6.57999992370605,1.73000001907349,1.50999999046326,91.2699966430664,10,49,60.5999984741211,1,D
3,0,27-29,4.98000001907349,3.25999999046326,4.71000003814697,3.63000011444092,63.1399993896484,2,38,0,1,B
4,0,27-29,3.19000005722046,4.57999992370605,2.51999998092651,3.95000004768372,40.5099983215332,6,50,0,1,C
5,1,24-26,7.67000007629395,6.21000003814697,5.65000009536743,1.5900000333786,45.5299987792969,6,41,72.6999969482422,1,A
7,0,21-23,9.0600004196167,6.3600001335144,4.44000005722046,5.98999977111816,43.5,8,35,93.5999984741211,1,D
8,0,21-23,6.36999988555908,4.8600001335144,5.13000011444092,1.37000000476837,75.2200012207031,6,59,0,1,D
9,1,24-26,4.19000005722046,4.86999988555908,3.38000011444092,2.86999988555908,44.7900009155273,3,39,0,1,C
10,0,18-20,7.28000020980835,9.5600004196167,2.54999995231628,0.810000002384186,79.1500015258789,10,73,0,1,B
11,1,21-23,6.38000011444092,7.82999992370605,1.36000001430511,1.72000002861023,54.9900016784668,10,82,72.3000030517578,1,C
12,1,27-29,6.3600001335144,9.51000022888184,0.200000002980232,3.46000003814697,86.5999984741211,10,92,41.2000007629395,1,A
13,1,27-29,8.56999969482422,7.03000020980835,5.38000011444092,7.80000019073486,77.0199966430664,3,86,0,1,D
14,1,24-26,9.14999961853027,9.35000038146973,0.569999992847443,5.59000015258789,93.9899978637695,4,78,50.4000015258789,1,A
15,1,21-23,2.21000003814697,8.85999965667725,5.5,7.44999980926514,67.8499984741211,8,96,49.2000007629395,0,F
17,0,24-26,6.67999982833862,6.51999998092651,3.07999992370605,7.53999996185303,59.7000007629395,2,87,98,1,C
18,1,24-26,5.78999996185303,7.86999988555908,4.51999998092651,4.09000015258789,50.9099998474121,10,77,51.7999992370605,1,D
19,1,18-20,6.69999980926514,4.11999988555908,2.94000005722046,2.25999999046326,60.0099983215332,8,80,0,1,C
20,0,21-23,4.6100001335144,9.57999992370605,2.26999998092651,6.76000022888184,40.5,4,32,72.4000015258789,1,D
21,1,21-23,4.42000007629395,5.78999996185303,5.98000001907349,4.80999994277954,94.7099990844727,10,70,0,1,D
22,0,18-20,1.62000000476837,9.42000007629395,4.8600001335144,0.730000019073486,98.4199981689453,7,33,98.1999969482422,1,B
23,0,24-26,6.42000007629395,3.70000004768372,4.09000015258789,4.28000020980835,94.129997253418,8,47,0,1,B
24,0,27-29,2.17000007629395,6.6100001335144,5.92999982833862,5.1399998664856,44.189998626709,6,65,30.7000007629395,1,B
25,1,21-23,6.86999988555908,3.00999999046326,0.379999995231628,0.140000000596046,48.5200004577637,9,61,58.5999984741211,1,B
26,1,18-20,9.6899995803833,5.90999984741211,4.01999998092651,4.40000009536743,89.6399993896484,8,62,58.2999992370605,1,A
27,1,27-29,2.94000005722046,3.57999992370605,1.16999995708466,2.91000008583069,69.879997253418,8,99,0,1,A
28,1,21-23,1.85000002384186,6.1399998664856,4.11999988555908,3.65000009536743,43.560001373291,5,97,0,1,C
29,1,15-17,0.730000019073486,6.8899998664856,0.970000028610229,0.870000004768372,59.4900016784668,4,31,0,1,D
30,0,27-29,4.09999990463257,8.97000026702881,4.15000009536743,4.01999998092651,61.8699989318848,7,93,64.0999984741211,1,D
31,0,24-26,2.53999996185303,5.07000017166138,0.930000007152557,7.88000011444092,78.5100021362305,9,45,0,1,B
